Field1,X,Y,Z
13592,586298.974,4475017.525,3.542
13593,586300.423,4475017.62,3.53
13594,586301.851,4475017.828,3.553
13595,586303.171,4475017.856,3.494
13596,586304.511,4475017.792,3.448
13597,586305.986,4475017.599,3.489
13598,586307.421,4475017.475,3.346
13599,586308.942,4475017.404,3.278
13600,586310.646,4475017.342,3.223
13601,586312.258,4475017.348,3.116
13602,586313.94,4475017.344,3.07
13603,586315.558,4475017.36,3.019
13604,586317.218,4475017.449,2.933
13605,586318.777,4475017.593,2.89
13606,586320.359,4475017.626,2.829
13607,586321.888,4475017.714,2.765
13608,586323.413,4475017.758,2.701
13609,586324.899,4475017.857,2.664
13610,586326.356,4475018.016,2.621
13611,586327.918,4475018.134,2.563
13612,586329.487,4475018.324,2.472
13613,586330.677,4475018.544,2.44
13614,586332.105,4475018.811,2.358
13615,586333.647,4475019.064,2.296
13616,586335.111,4475019.333,2.265
13617,586336.553,4475019.534,2.265
13618,586338.029,4475019.514,2.282
13619,586339.371,4475019.376,2.348
13620,586340.735,4475019.088,2.355
13621,586342.164,4475018.821,2.34
13622,586343.546,4475018.443,2.367
13623,586345.015,4475018.026,2.366
13624,586346.383,4475017.57,2.403
13625,586348.139,4475017.157,2.424
13626,586350.096,4475016.623,2.43
13627,586352.208,4475016.284,2.486
13628,586354.045,4475016.035,2.487
13629,586355.451,4475015.873,2.531
13630,586356.872,4475015.755,2.566
13631,586358.065,4475015.735,2.594
13632,586358.319,4475015.665,2.58
13633,586359.69,4475015.44,2.619
13634,586360.872,4475015.41,2.688
13635,586362.177,4475015.347,2.683
13636,586363.591,4475015.348,2.73
13637,586364.909,4475015.55,2.761
13638,586366.225,4475015.764,2.789
13639,586367.573,4475015.797,2.851
13640,586368.951,4475015.804,2.884
13641,586370.251,4475015.894,2.88
13642,586371.64,4475015.881,2.866
13643,586373.002,4475015.753,2.952
13644,586374.275,4475015.629,2.952
13645,586375.575,4475015.477,2.942
13646,586376.882,4475015.443,2.987
13647,586378.38,4475015.383,2.936
13648,586380.269,4475015.269,2.903
13674,586419.359,4475017.176,0.761
13675,586420.845,4475016.977,0.646
13676,586422.276,4475016.758,0.532
13677,586423.507,4475016.638,0.422
13678,586424.721,4475016.41,0.283
13679,586425.825,4475016.26,0.14
13680,586427.001,4475016.136,-0.043
13681,586428.147,4475015.904,-0.222
13682,586429.052,4475015.728,-0.337
13683,586429.706,4475015.712,-0.418
13684,586429.898,4475015.718,-0.447
13685,586429.945,4475015.783,-0.456
13686,586429.623,4475039.541,-0.386
13687,586428.969,4475039.595,-0.287
13688,586428.136,4475039.754,-0.206
13689,586427.134,4475039.785,-0.073
13690,586425.867,4475039.886,0.1
13691,586424.866,4475040.076,0.187
13692,586424.031,4475040.206,0.283
13693,586422.102,4475040.294,0.527
13694,586421.319,4475040.233,0.611
13730,586380.265,4475042.79,2.825
13731,586378.879,4475042.692,2.927
13732,586377.758,4475042.776,2.959
13733,586376.614,4475042.782,2.961
13734,586375.566,4475042.846,2.94
13735,586374.203,4475042.854,2.911
13736,586373.071,4475042.895,2.93
13737,586371.869,4475042.879,2.877
13738,586370.578,4475042.635,2.827
13739,586369.354,4475042.454,2.812
13740,586367.918,4475042.131,2.794
13741,586366.858,4475041.99,2.779
13742,586365.526,4475041.833,2.765
13743,586364.382,4475041.808,2.745
13744,586363.174,4475041.619,2.717
13745,586361.961,4475041.484,2.689
13746,586360.756,4475041.398,2.637
13747,586359.512,4475041.398,2.591
13748,586358.326,4475041.282,2.573
13749,586357.216,4475041.1,2.522
13750,586356.211,4475040.856,2.496
13751,586355.62,4475040.911,2.502
13752,586354.763,4475040.709,2.444
13753,586353.36,4475040.761,2.415
13754,586352.23,4475040.598,2.414
13755,586350.922,4475040.562,2.365
13756,586349.542,4475040.714,2.336
13757,586348.261,4475040.907,2.247
13758,586346.975,4475040.988,2.245
13759,586345.795,4475041.143,2.23
13760,586344.464,4475041.269,2.268
13761,586343.149,4475041.436,2.225
13762,586341.882,4475041.657,2.217
13763,586340.67,4475041.797,2.237
13764,586339.378,4475041.892,2.232
13765,586338.348,4475041.948,2.212
13766,586337.108,4475041.898,2.234
13767,586335.966,4475041.916,2.26
13768,586334.798,4475041.956,2.287
13769,586333.626,4475042.056,2.286
13770,586332.484,4475042.131,2.315
13771,586331.481,4475042.059,2.342
13772,586330.27,4475041.969,2.363
13773,586329.035,4475041.942,2.407
13774,586327.927,4475041.847,2.403
13775,586326.842,4475041.732,2.445
13776,586325.655,4475041.646,2.498
13777,586324.462,4475041.619,2.593
13778,586323.297,4475041.514,2.657
13779,586322.047,4475041.496,2.711
13780,586320.789,4475041.524,2.744
13781,586319.481,4475041.417,2.774
13782,586318.298,4475041.426,2.837
13783,586317.134,4475041.419,2.879
13784,586316.068,4475041.464,2.918
13785,586314.763,4475041.407,2.96
13786,586313.715,4475041.328,3.029
13787,586312.471,4475041.259,3.035
13788,586311.285,4475041.145,3.092
13789,586310.071,4475041.084,3.119
13790,586308.967,4475040.914,3.137
13791,586307.643,4475040.642,3.193
13792,586306.162,4475040.464,3.265
13793,586304.721,4475040.299,3.323
13794,586303.407,4475040.074,3.376
13795,586302.179,4475039.849,3.455
13796,586300.802,4475039.625,3.429
13797,586299.665,4475039.516,3.477
13798,586298.237,4475039.388,3.474
13799,586297.083,4475039.231,3.512
13800,586295.777,4475039.211,3.521
13801,586294.53,4475039.299,3.519
13802,586293.234,4475039.434,3.517
13803,586291.921,4475039.641,3.527
13804,586290.651,4475039.891,3.531
13805,586289.424,4475040.206,3.537
13806,586288.09,4475040.566,3.549
13807,586286.797,4475040.853,3.516
13808,586285.578,4475041.308,3.586
13809,586284.363,4475041.632,3.556
13810,586282.999,4475041.873,3.529
13811,586281.7,4475042.191,3.544
13812,586280.486,4475042.398,3.55
13813,586279.202,4475042.454,3.589
13814,586277.946,4475042.472,3.591
13815,586276.667,4475042.479,3.586
13816,586275.268,4475042.516,3.529
13817,586273.928,4475042.482,3.539
13818,586272.6,4475042.383,3.535
13819,586271.282,4475042.285,3.593
13820,586269.899,4475042.069,3.542
13821,586268.596,4475041.959,3.538
13822,586267.315,4475041.763,3.556
13823,586265.48,4475041.592,3.503
13824,586263.988,4475041.448,3.513
13825,586262.919,4475041.402,3.48
13826,586261.537,4475041.409,3.476
13827,586259.894,4475041.311,3.439
13828,586258.491,4475041.111,3.433
13829,586257.12,4475040.974,3.451
13830,586255.769,4475040.829,3.439
13831,586254.497,4475040.778,3.508
13832,586253.252,4475040.705,3.54
13833,586252.222,4475040.65,3.534
13834,586250.758,4475040.487,3.462
13835,586249.38,4475040.316,3.45
13836,586248.007,4475040.115,3.428
13837,586246.622,4475040.074,3.424
13838,586245.231,4475039.987,3.363
13920,586242.776,4475064.78,3.292
13921,586244.107,4475064.494,3.302
13922,586245.261,4475064.295,3.297
13923,586246.28,4475064.099,3.321
13924,586247.577,4475063.804,3.344
13925,586248.942,4475063.617,3.342
13926,586250.124,4475063.429,3.38
13927,586251.275,4475063.272,3.366
13928,586252.431,4475063.044,3.377
13929,586253.608,4475062.788,3.368
13930,586254.662,4475062.577,3.383
13931,586255.844,4475062.323,3.362
13932,586257.087,4475062.138,3.332
13933,586258.498,4475062.013,3.368
13934,586259.89,4475061.974,3.395
13935,586261.097,4475061.897,3.36
13936,586262.297,4475061.867,3.431
13937,586263.527,4475061.873,3.418
13938,586264.664,4475061.85,3.427
13939,586265.71,4475061.851,3.438
13940,586267.059,4475061.966,3.454
13941,586268.306,4475062.275,3.463
13942,586269.53,4475062.537,3.461
13943,586270.566,4475062.981,3.473
13944,586271.72,4475063.428,3.482
13945,586272.888,4475063.857,3.474
13946,586274.012,4475064.246,3.485
13947,586275.184,4475064.497,3.513
13948,586276.446,4475064.657,3.508
13949,586277.758,4475064.891,3.537
13950,586279.096,4475065.042,3.506
13951,586280.286,4475065.25,3.546
13952,586281.573,4475065.184,3.55
13953,586282.925,4475065.239,3.526
13954,586284.131,4475065.379,3.526
13955,586285.46,4475065.341,3.504
13956,586286.718,4475065.316,3.492
13957,586287.953,4475065.333,3.517
13958,586289.219,4475065.342,3.514
13959,586290.456,4475065.403,3.563
13960,586291.752,4475065.502,3.542
13961,586292.928,4475065.469,3.545
13962,586294.322,4475065.457,3.53
13963,586295.58,4475065.231,3.501
13964,586296.682,4475065.137,3.459
13965,586297.878,4475065.264,3.491
13966,586299.026,4475065.375,3.425
13967,586300.474,4475065.446,3.41
13968,586302.809,4475065.553,3.363
13969,586304.133,4475065.672,3.334
13970,586305.436,4475065.779,3.268
13971,586306.704,4475065.967,3.247
13972,586308.087,4475066.16,3.154
13973,586309.465,4475066.239,3.113
13974,586310.717,4475066.323,3.059
13975,586312.004,4475066.34,3.02
13976,586313.28,4475066.317,2.976
13977,586314.627,4475066.293,2.915
