ID,X,Y,Z
100361,586326.987,4475875.683,-0.841
100362,586327.394,4475875.78,-0.868
100363,586327.383,4475875.765,-0.869
100364,586327.363,4475875.816,-0.866
100365,586327.346,4475875.848,-0.862
100366,586327.361,4475875.812,-0.861
100367,586327.358,4475875.806,-0.862
100368,586327.356,4475875.809,-0.861
100369,586330.407,4475850.65,-0.876
100370,586330.407,4475850.67,-0.883
100371,586330.396,4475850.664,-0.886
100372,586330.374,4475850.66,-0.879
100373,586330.13,4475850.724,-0.851
100374,586329.642,4475850.651,-0.798
100375,586328.922,4475850.53,-0.721
100376,586328.195,4475850.471,-0.647
100377,586327.376,4475850.556,-0.563
100378,586326.463,4475850.766,-0.466
100379,586325.63,4475850.823,-0.364
100380,586324.785,4475850.696,-0.278
100381,586324.019,4475850.588,-0.195
100382,586323.119,4475850.461,-0.111
100383,586322.331,4475850.349,-0.017
100384,586321.535,4475850.289,0.072
100385,586320.719,4475850.19,0.157
100386,586319.933,4475850.12,0.255
100387,586319.121,4475850.158,0.373
100388,586318.296,4475850.143,0.465
100389,586317.486,4475850.044,0.559
100390,586316.581,4475850.052,0.654
100391,586315.633,4475850.131,0.742
100392,586314.645,4475850.152,0.838
100393,586313.72,4475850.182,0.915
100394,586312.856,4475850.26,0.99
100395,586312.044,4475850.317,1.058
100396,586311.287,4475850.306,1.125
100397,586310.614,4475850.193,1.204
100398,586309.82,4475850.142,1.264
100399,586309.011,4475850.192,1.347
100400,586308.187,4475850.147,1.433
100401,586307.349,4475850.154,1.534
100402,586306.757,4475850.192,1.593
100403,586306.09,4475850.142,1.675
100404,586305.608,4475850.097,1.735
100405,586304.973,4475849.942,1.808
100406,586304.471,4475849.856,1.871
100407,586303.936,4475849.852,1.934
100408,586303.267,4475849.797,2.014
100409,586302.553,4475849.861,2.096
100410,586301.813,4475849.901,2.158
100411,586300.974,4475849.923,2.232
100412,586300.151,4475850.014,2.3
100413,586299.437,4475849.978,2.378
100414,586298.648,4475850.032,2.439
100415,586297.782,4475850.121,2.523
100416,586296.917,4475850.149,2.582
100417,586296.158,4475850.172,2.626
100418,586295.302,4475850.173,2.655
100419,586294.525,4475850.234,2.694
100420,586293.694,4475850.259,2.678
100421,586292.867,4475850.247,2.655
100422,586292.091,4475850.217,2.7
100423,586291.122,4475850.207,2.714
100424,586290.191,4475850.152,2.732
100425,586289.274,4475850.111,2.732
100426,586288.342,4475850.029,2.735
100427,586287.344,4475849.988,2.714
100428,586286.286,4475849.9,2.696
100429,586285.322,4475849.872,2.691
100430,586284.382,4475849.852,2.705
100431,586283.319,4475849.74,2.672
100432,586282.188,4475849.692,2.649
100433,586281.155,4475849.641,2.633
100434,586280.186,4475849.606,2.635
100435,586279.155,4475849.697,2.63
100436,586278.166,4475849.711,2.541
100437,586277.173,4475849.724,2.481
100438,586276.142,4475849.799,2.459
100439,586275.12,4475849.805,2.424
100440,586274.087,4475849.846,2.381
100441,586273.039,4475849.894,2.343
100442,586272.012,4475850.002,2.325
100443,586270.971,4475850.052,2.255
100444,586269.966,4475850.061,2.24
100445,586268.942,4475850.046,2.145
100446,586268.025,4475850.038,2.116
100447,586267.002,4475849.933,2.05
100448,586265.886,4475849.787,1.992
100449,586264.999,4475849.564,1.987
100450,586263.934,4475849.416,1.905
100451,586262.932,4475849.303,1.871
100452,586261.945,4475849.092,1.826
100453,586260.973,4475848.92,1.783
100454,586259.959,4475848.731,1.753
100455,586259.063,4475848.596,1.782
100456,586258.089,4475848.418,1.745
